"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
17,17,4,1,128707,128707,16777216,20,"void copy_kernel<64>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",16980026.000000,5187498380924915,5187498381554357
17,17,4,1,128707,128707,16777216,20,"void copy_kernel<64>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",790470.000000,5187498380924915,5187498381554357
17,17,4,1,128707,128707,16777216,20,"void copy_kernel<64>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",16721360.000000,5187498380924915,5187498381554357
17,17,4,1,128707,128707,16777216,20,"void copy_kernel<64>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,5187498380924915,5187498381554357
18,18,4,1,128707,128707,16777216,23,"void copy_kernel<128>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,5187498382019159,5187498382471001
18,18,4,1,128707,128707,16777216,23,"void copy_kernel<128>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",135146.000000,5187498382019159,5187498382471001
18,18,4,1,128707,128707,16777216,23,"void copy_kernel<128>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",17139498.000000,5187498382019159,5187498382471001
18,18,4,1,128707,128707,16777216,23,"void copy_kernel<128>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",659430.000000,5187498382019159,5187498382471001
18,18,4,1,128707,128707,16777216,23,"void copy_kernel<128>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",16749792.000000,5187498382019159,5187498382471001
18,18,4,1,128707,128707,16777216,23,"void copy_kernel<128>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,5187498382019159,5187498382471001
19,19,4,1,128707,128707,16777216,25,"void copy_kernel<256>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,5187498382945563,5187498383404605
19,19,4,1,128707,128707,16777216,25,"void copy_kernel<256>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",69626.000000,5187498382945563,5187498383404605
19,19,4,1,128707,128707,16777216,25,"void copy_kernel<256>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",17221498.000000,5187498382945563,5187498383404605
19,19,4,1,128707,128707,16777216,25,"void copy_kernel<256>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",593910.000000,5187498382945563,5187498383404605
19,19,4,1,128707,128707,16777216,25,"void copy_kernel<256>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",16766272.000000,5187498382945563,5187498383404605
19,19,4,1,128707,128707,16777216,25,"void copy_kernel<256>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,5187498382945563,5187498383404605
20,20,4,1,128707,128707,16777216,33,"void copy_kernel<512>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,5187498383869407,5187498384158848
20,20,4,1,128707,128707,16777216,33,"void copy_kernel<512>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",36866.000000,5187498383869407,5187498384158848
20,20,4,1,128707,128707,16777216,33,"void copy_kernel<512>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",9688450.000000,5187498383869407,5187498384158848
20,20,4,1,128707,128707,16777216,33,"void copy_kernel<512>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",561150.000000,5187498383869407,5187498384158848
20,20,4,1,128707,128707,16777216,33,"void copy_kernel<512>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",9200464.000000,5187498383869407,5187498384158848
20,20,4,1,128707,128707,16777216,33,"void copy_kernel<512>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,5187498383869407,5187498384158848
21,21,4,1,128707,128707,16777216,35,"void copy_kernel<1024>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,5187498384636290,5187498384861090
21,21,4,1,128707,128707,16777216,35,"void copy_kernel<1024>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",20486.000000,5187498384636290,5187498384861090
21,21,4,1,128707,128707,16777216,35,"void copy_kernel<1024>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",5873099.000000,5187498384636290,5187498384861090
21,21,4,1,128707,128707,16777216,35,"void copy_kernel<1024>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",544770.000000,5187498384636290,5187498384861090
21,21,4,1,128707,128707,16777216,35,"void copy_kernel<1024>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",5368733.000000,5187498384636290,5187498384861090
21,21,4,1,128707,128707,16777216,35,"void copy_kernel<1024>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,5187498384636290,5187498384861090
22,22,4,1,128707,128707,16777216,26,"void copy_kernel<2048>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,5187498385325892,5187498385540933
22,22,4,1,128707,128707,16777216,26,"void copy_kernel<2048>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",12296.000000,5187498385325892,5187498385540933
22,22,4,1,128707,128707,16777216,26,"void copy_kernel<2048>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",3632074.000000,5187498385325892,5187498385540933
22,22,4,1,128707,128707,16777216,26,"void copy_kernel<2048>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",536580.000000,5187498385325892,5187498385540933
22,22,4,1,128707,128707,16777216,26,"void copy_kernel<2048>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TCC_READ_REQ_sum",3119518.000000,5187498385325892,5187498385540933
22,22,4,1,128707,128707,16777216,26,"void copy_kernel<2048>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCP_TOTAL_READ_sum",16777216.000000,5187498385325892,5187498385540933
23,23,4,1,128707,128707,16777216,32,"void copy_kernel<4096>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"SQ_INSTS_VMEM_RD",262144.000000,5187498386015175,5187498386191176
23,23,4,1,128707,128707,16777216,32,"void copy_kernel<4096>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_EA_RDREQ_sum",4106.000000,5187498386015175,5187498386191176
23,23,4,1,128707,128707,16777216,32,"void copy_kernel<4096>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_HIT_sum",2557736.000000,5187498386015175,5187498386191176
23,23,4,1,128707,128707,16777216,32,"void copy_kernel<4096>(float*, float*, unsigned long, unsigned long)",256,0,0,16,32,"TCC_MISS_sum",528390.000000,5187498386015175,5187498386191176
